,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
146,348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,77600,2,-3300,-4.08,82300,82300,77500,90367,7093632650,813015588000,10477005,KSQ
147,372320,KR7372320002,큐로셀,KOSDAQ,기술성장기업부,56000,1,5000,9.8,51900,57800,51800,190690,10590517750,809694368000,14458828,KSQ
148,023160,KR7023160005,태광,KOSDAQ,우량기업부,30350,2,-500,-1.62,31500,31500,30100,174404,5350135325,804275000000,26500000,KSQ
149,225570,KR7225570001,넥슨게임즈,KOSDAQ,우량기업부,12140,2,-90,-0.74,12300,12300,12130,153555,1871446605,799542512360,65860174,KSQ
150,420770,KR7420770000,기가비스,KOSDAQ,벤처기업부,63000,1,4000,6.78,61200,66000,60300,215401,13743206450,798572754000,12675758,KSQ
151,074600,KR7074600008,원익QnC,KOSDAQ GLOBAL,우량기업부,30300,2,-1200,-3.81,32150,32150,30050,304159,9345968025,796526400000,26288000,KSQ
152,102940,KR7102940004,코오롱생명과학,KOSDAQ,중견기업부,61100,1,1000,1.66,60100,61800,59800,28203,1719556000,791342760000,12951600,KSQ
153,399720,KR7399720002,가온칩스,KOSDAQ,우량기업부,68100,1,600,0.89,70400,71000,67400,144358,9980017200,789988602000,11600420,KSQ
154,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,64000,2,-2500,-3.76,67100,67500,63700,53669,3485702250,783068544000,12235446,KSQ
155,287840,KR7287840003,인투셀,KOSDAQ,기술성장기업부,51500,1,900,1.78,50600,52000,49000,124178,6288085625,773115940000,15011960,KSQ
156,126340,KR7126340009,비나텍,KOSDAQ,벤처기업부,113400,1,1300,1.16,112000,114200,109000,74524,8295848750,763602487200,6733708,KSQ
157,383310,KR7383310000,에코프로에이치엔,KOSDAQ,우량기업부,36100,2,-300,-0.82,37400,38400,35450,343578,12615424125,757195045200,20974932,KSQ
158,099190,KR7099190001,아이센스,KOSDAQ,우량기업부,27000,1,1550,6.09,25900,27000,25900,303650,8104045900,745414002000,27607926,KSQ
159,090360,KR7090360009,로보스타,KOSDAQ,중견기업부,76100,2,-900,-1.17,77000,77800,75600,96712,7384765650,741975000000,9750000,KSQ
160,211050,KR7211050000,인카금융서비스,KOSDAQ,우량기업부,15050,2,-410,-2.65,15510,15630,14830,228297,3454613945,741418037850,49263657,KSQ
161,486990,KR7486990005,노타,KOSDAQ,기술성장기업부,34550,2,-650,-1.85,35700,35950,34050,244413,8466770950,736745236500,21324030,KSQ
162,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,8140,2,-20,-0.25,8250,8270,8100,478758,3910169180,732346821580,89968897,KSQ
163,053800,KR7053800009,안랩,KOSDAQ,우량기업부,65200,1,100,0.15,66300,66600,65100,51292,3369591650,725448191200,11126506,KSQ
164,253590,KR7253590004,네오셈,KOSDAQ,우량기업부,16470,1,260,1.6,16390,17390,16300,1906255,31976889365,722525131080,43869164,KSQ
165,084110,KR7084110006,휴온스글로벌,KOSDAQ,중견기업부,57000,1,4100,7.75,52900,59300,52900,103993,5915052950,721609284000,12659812,KSQ
166,044490,KR7044490001,태웅,KOSDAQ,우량기업부,35700,2,-700,-1.92,37150,38400,35200,415261,15080201375,714263501700,20007381,KSQ
